,,,,,,,,,
"MAT1004 - Álgebra Linear   (3 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
EP1,Indisponível,Presencial,48,44,Aberta,1 - Eng.Produção,5M2(L21) - 5M3(L21),Dayse Grassi Bernardon,Não
TMI1,Indisponível,Presencial,40,30,Aberta,1 - Tecnol.Manut.Indl.,4N1(I16) - 4N2(I16),Silvana Mendonca Lopes Valentin,Não
,,,,,,,,,
"HLA1004 - Libras 1   (1 Aulas semanais presenciais, 2 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
OPHUMAN,Indisponível,Presencial,44,0,Sem Reserva,,5M1(L22),Dayse Grassi Bernardon,Matriz:665
,,,,,,,,,Matriz:655
,,,,,,,,,Matriz:653
,,,,,,,,,Matriz:656
,,,,,,,,,Matriz:660
,,,,,,,,,Matriz:654
,,,,,,,,,Matriz:659
,,,,,,,,,Matriz:658
,,,,,,,,,
"OP63A - Linguagem Procedural Para Banco De Dados   (4 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
CC7,Indisponível,Presencial,30,0,Fechada,1 - Ciência Computação,4T4(L16) - 4T5(L16) - 6T4(L16) - 6T5(L16),Cesar Angonese,Matriz:545
,,,,,,,,,Matriz:571
,,,,,,,,,
"COM1008 - Lógica Matemática   (4 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
CC1,Indisponível,Presencial,48,40,Fechada,1 - Ciência Computação,2T1(L41) - 2T2(L41) - 2T3(L41) - 4T1(L41),Nelson Miguel Betzek,Não
,,,,,,,,,
"MAT1005 - Matemática Multivariável   (4 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
